"","emails"
"1","gdsbfc@reseaugds.com"
"2","gds89@reseaugds.com"
"3","gds21@gdsbfc.org"
"4","gds25@gdsfc.org"
"5","gds25@gdsfc.org"
"6","gds39@gdsfc.org"
"7","gds39@gdsfc.org"
"8","gds58@reseaugds.com"
"9","gds58@reseaugds.com"
"10","gds70@gdsfc.org"
"11","gds70@gdsfc.org"
"12","gds89@reseaugds.com"
"13","gds89@gdsbfc.org"
"14","gds71@reseaugds.com"
"15","gds71@reseaugds.com"
"16","frgds.bourgogne@reseaugds.com"
"17","gdsbfc@reseaugds.com"
"18","gds89@reseaugds.com"
"19","gds21@gdsbfc.org"
"20","gds25@gdsfc.org"
"21","gds25@gdsfc.org"
"22","gds39@gdsfc.org"
"23","gds39@gdsfc.org"
"24","gds58@reseaugds.com"
"25","gds58@reseaugds.com"
"26","gds70@gdsfc.org"
"27","gds70@gdsfc.org"
"28","gds89@reseaugds.com"
"29","gds89@gdsbfc.org"
"30","gds71@reseaugds.com"
"31","gds71@reseaugds.com"
"32","frgds.bourgogne@reseaugds.com"
"33","gdsbfc@reseaugds.com"
"34","gds89@reseaugds.com"
"35","gds21@gdsbfc.org"
"36","gds25@gdsfc.org"
"37","gds25@gdsfc.org"
"38","gds39@gdsfc.org"
"39","gds39@gdsfc.org"
"40","gds58@reseaugds.com"
"41","gds58@reseaugds.com"
"42","gds70@gdsfc.org"
"43","gds70@gdsfc.org"
"44","gds89@reseaugds.com"
"45","gds89@gdsbfc.org"
"46","gds71@reseaugds.com"
"47","gds71@reseaugds.com"
"48","frgds.bourgogne@reseaugds.com"
"49","gdsbfc@reseaugds.com"
"50","gds89@reseaugds.com"
"51","gds21@gdsbfc.org"
"52","gds25@gdsfc.org"
"53","gds25@gdsfc.org"
"54","gds39@gdsfc.org"
"55","gds39@gdsfc.org"
"56","gds58@reseaugds.com"
"57","gds58@reseaugds.com"
"58","gds70@gdsfc.org"
"59","gds70@gdsfc.org"
"60","gds89@reseaugds.com"
"61","gds89@gdsbfc.org"
"62","gds71@reseaugds.com"
"63","gds71@reseaugds.com"
"64","frgds.bourgogne@reseaugds.com"
"65","gdsbfc@reseaugds.com"
"66","gds89@reseaugds.com"
"67","gds21@gdsbfc.org"
"68","gds25@gdsfc.org"
"69","gds25@gdsfc.org"
"70","gds39@gdsfc.org"
"71","gds39@gdsfc.org"
"72","gds58@reseaugds.com"
"73","gds58@reseaugds.com"
"74","gds70@gdsfc.org"
