"","emails"
"1","info@nelfa.org"
"2","info@nelfa.org"
"3","info@nelfa.org"
"4","info@nelfa.org"
"5","info@nelfa.org"
"6","media@nelfa.org"
"7","media@nelfa.org"
"8","info@nelfa.org"
"9","info@nelfa.org"
"10","info@nelfa.org"
"11","info@nelfa.org"
"12","info@nelfa.org"
"13","Sorgerechtsentzug_Lesben@2x-1-768x659-150x150.jpg"
"14","Sorgerechtsentzug_Lesben@2x-1-768x659-150x150.jpg"
"15","Sorgerechtsentzug_Lesben@2x-1-768x659-300x300.jpg"
"16","Sorgerechtsentzug_Lesben@2x-1-768x659-100x100.jpg"
"17","manon@ilga-europe.org"
"18","broschuere@regenbogenfamilien-muenchen.de."
"19","amacedo@keypoint.pt"
"20","amacedo@keypoint.pt"
"21","info@nelfa.org"
"22","info@nelfa.org"
"23","info@nelfa.org"
"24","info@nelfa.org."
"25","info@nelfa.org"
"26","info@nelfa.org"
"27","info@nelfa.org"
"28","info@nelfa.org"
"29","info@nelfa.org"
"30","info@nelfa.org"
"31","info@nelfa.org"
"32","info@nelfa.org"
"33","info@nelfa.org"
"34","pcosta@ispa.pt."
"35","info@nelfa.org"
"36","info@nelfa.org"
"37","info@nelfa.org"
"38","info@nelfa.org"
"39","media@nelfa.org"
"40","info@nelfa.org"
"41","info@nelfa.org"
"42","info@nelfa.org"
"43","info@nelfa.org"
"44","info@nelfa.org"
"45","info@nelfa.org"
"46","info@nelfa.org"
"47","info@nelfa.org"
"48","info@nelfa.org"
"49","info@nelfa.org"
"50","Sorgerechtsentzug_Lesben@2x-1-768x659.jpg"
"51","Sorgerechtsentzug_Lesben@2x-1-768x659.jpg"
"52","Sorgerechtsentzug_Lesben@2x-1-768x659-300x184.jpg"
"53","Sorgerechtsentzug_Lesben@2x-1-768x659-672x411.jpg"
"54","Sorgerechtsentzug_Lesben@2x-1-768x659-600x367.jpg"
"55","info@nelfa.org."
"56","info@nelfa.org"
"57","info@nelfa.org"
"58","info@nelfa.org"
"59","info@nelfa.org"
"60","info@nelfa.org"
"61","info@nelfa.org"
"62","info@nelfa.org"
"63","info@nelfa.org"
"64","info@nelfa.org"
"65","info@nelfa.org"
"66","info@nelfa.org"
"67","info@nelfa.org"
"68","info@nelfa.org"
"69","info@nelfa.org"
"70","info@nelfa.org"
"71","info@nelfa.org"
"72","info@nelfa.org"
"73","info@nelfa.org"
"74","info@nelfa.org"
"75","info@nelfa.org"
"76","info@nelfa.org"
"77","info@nelfa.org"
"78","info@nelfa.org"
"79","info@nelfa.org"
"80","info@nelfa.org"
"81","info@nelfa.org"
"82","info@nelfa.org"
"83","info@nelfa.org"
"84","info@nelfa.org"
"85","info@nelfa.org"
"86","info@nelfa.org"
"87","bjoern.sieverding@nelfa.org"
"88","bjoern.sieverding@nelfa.org"
"89","info@nelfa.org"
"90","president@nelfa.org"
"91","eleni.maravelia@nelfa.org"
"92","vicepresident@nelfa.org"
"93","vicepresident@nelfa.org"
"94","treasurer@nelfa.org"
"95","treasurer@nelfa.org"
"96","christoph.alms@nelfa.org"
"97","christoph.alms@nelfa.org"
"98","secretary@nelfa.org"
"99","secretary@nelfa.org"
"100","vicepresident@nelfa.org"
"101","bjoern.sieverding@nelfa.org"
"102","margherita.leonelli@nelfa.org"
"103","margherita.leonelli@nelfa.org"
"104","info@nelfa.org"
"105","info@nelfa.org"
"106","info@nelfa.org"
"107","info@nelfa.org"
