"","emails"
"1","wght@0,300"
"2","info@shfca.org.uk"
"3","wght@0,300"
"4","info@shfca.org.uk"
"5","wght@0,300"
"6","info@shfca.org.uk"
"7","wght@0,300"
"8","info@shfca.org.uk"
"9","wght@0,300"
"10","info@shfca.org.uk"
"11","wght@0,300"
"12","info@shfca.org.uk"
"13","wght@0,300"
"14","info@shfca.org.uk"
"15","wght@0,300"
"16","info@shfca.org.uk"
"17","wght@0,300"
"18","info@shfca.org.uk"
"19","wght@0,300"
"20","info@shfca.org.uk"
"21","info@shfca.org.uk"
"22","info@shfca.org.uk"
"23","slj2@st-andrews.ac.uk"
"24","wght@0,300"
"25","info@shfca.org.uk"
"26","wght@0,300"
"27","info@shfca.org.uk"
"28","info@shfca.org.uk"
"29","info@shfca.org.uk"
"30","slj2@st-andrews.ac.uk"
"31","wght@0,300"
"32","info@shfca.org.uk"
"33","marketing@gillespiemacandrew.co.uk"
"34","marketing@gillespiemacandrew.co.uk"
"35","wght@0,300"
"36","info@shfca.org.uk"
"37","wght@0,300"
"38","info@shfca.org.uk"
"39","wght@0,300"
"40","info@shfca.org.uk"
"41","wght@0,300"
"42","info@shfca.org.uk"
"43","wght@0,300"
"44","info@shfca.org.uk"
"45","info@shfca.org.uk"
"46","info@shfca.org.uk"
